Name,Tags,Products,Location,Address,Latitude,Longitude,Distance Miles,Best Season,Secondary Season,Availability,Availability Type,Source Confidence,Distance Basis,Notes,Website,Phone,Email
Mount Pleasant Seafood Co.,"supplier, seafood, seafood market, shellfish, clams, oysters, shrimp, fish","clams, oysters, shrimp, fish","Mount Pleasant, SC","1 Seafood Drive, Mount Pleasant, SC 29464",,,59.0,Year-round,Sep-May,Fresh + seasonal,Seafood market,strong,Certified SC Seafood member,Family-owned Shem Creek market operating since 1945 with fresh local shrimp oysters clams and fish.,https://www.mtpleasantseafood.com,843-884-4122,sarah@mtpleasantseafood.com
Crosby's Fish and Shrimp Company,"supplier, seafood, seafood market, shellfish, clams, oysters, shrimp, fish","clams, oysters, shrimp, fish, seasonal produce","Charleston, SC","2223 Folly Road, Charleston, SC 29412",,,55.0,Year-round,May-Jan,Fresh + seasonal,Seafood market,strong,Certified SC Seafood member,Charleston retail seafood market carrying local shrimp fish clams and oysters plus selected non-local seafood staples.,https://crosbysfishshrimp.com,843-795-4049,jcooks8@aol.com
Captain Harry's Select Seafood,"supplier, seafood, seafood market, shellfish, clams, oysters, shrimp, crab, fish","clams, oysters, shrimp, crab, stone crab claws, soft shell crabs, fish","Charleston, SC","478 Woodland Shores Road, Charleston, SC 29412",,,55.0,Year-round,May-Jan,Fresh + seasonal,Seafood supplier,strong,Certified SC Seafood member,Charleston shellfish and seafood supplier with clams oysters shrimp crab soft-shell crab stone crab claws and fish.,https://www.seafoodchs.com,843-460-7766,number1oysters@yahoo.com
Seven Seas Seafood Market,"supplier, seafood, seafood market, shellfish, clams, oysters, shrimp, fish, crab","clams, oysters, shrimp, snapper, grouper, tuna, blue crabs","Murrells Inlet, SC","3476 Hwy. 17 Business, Murrells Inlet, SC 29576",,,110.0,May-Sep,Year-round,Fresh + seasonal,Seafood market,strong,Certified SC Seafood member,Certified SC seafood market with its own fleet; lists oysters clams tuna May-September and buys clams from Livingston's Bulls Bay Seafood year-round.,https://www.sevenseasfood.com,843-651-1666,gonefishing@sevenseasseafood.com
Barnacle Bill's Seafood,"supplier, seafood, shrimp, fish","shrimp, fish","Hilton Head Island, SC","614 William Hilton Pkwy, Hilton Head Island, SC 29928",32.17889,-80.743057,14.2,May-Oct,Nov-Apr,Wild + frozen,Seafood market,medium,Coordinate from source sheet,Retail seafood market on Hilton Head serving shrimp and fish within the broader Beaufort-area orbit.,,,
Russo's Seafood,"supplier, seafood, shrimp, fish, skate","shrimp, fish, skate by special order","Savannah, GA","201 E 40th St, Savannah, GA 31401",32.076176,-81.088371,31.2,May-Oct,Nov-Apr,Wild + frozen,Wholesaler + market,strong,Coordinate from source sheet,Long-running Savannah seafood wholesaler and supplier useful for regional seafood including special-order skate.,,,
Dubberly's Seafood,"supplier, seafood, shrimp, fish","shrimp, fish","Savannah, GA","214 W Vernonburg Ave, Savannah, GA 31404",31.96619987,-81.1312027,38.4,May-Oct,Nov-Apr,Wild + frozen,Buyer + supplier,strong,Coordinate from source sheet,Historic Savannah seafood buyer and supplier with Lowcountry relevance for shrimp and fish sourcing.,,,
Sea Island Seafood,"supplier, seafood, shrimp, fish, crab","shrimp, fish, crab","Hilton Head Island, SC","Hilton Head Island, SC",,,16.0,May-Oct,Nov-Apr,Wild + frozen,Seafood market lead,low,City approximation,Name and exact address still need confirmation before relying on this row.,,,
Skull Creek Marina,"supplier, marine infrastructure, marina, ice, fuel, dockage","fuel dock, transient dockage, boat services","Hilton Head Island, SC","1 Waterway Lane, Hilton Head Island, SC 29926",,,16.0,Year-round,Summer peak,Year-round,Infrastructure,medium,Approx. from Port Royal center,Regional dock and fuel lead for working and recreational boat logistics.,https://skullcreekmarina.com/,843-681-8436,
Windmill Harbour Marina,"supplier, marine infrastructure, marina, ice, dockage","dockage, marina services","Hilton Head Island, SC","161 Harbour Passage, Hilton Head Island, SC 29926",,,18.0,Year-round,Summer peak,Year-round,Infrastructure,medium,Approx. from Port Royal center,Private marina and dockage lead in the broader Port Royal supplier shed.,https://windmillharbourmarina.org/,,
Thunderbolt Marine,"supplier, marine infrastructure, boat yard","boat yard, refit, repair, haul-out","Thunderbolt, GA","3124 River Drive, Thunderbolt, GA 31404",,,35.0,Year-round,Spring and fall,Year-round,Boat yard,strong,Approx. from Port Royal center,Major Savannah-area marine repair and refit yard relevant to working-waterfront resilience.,https://www.thunderboltmarine.com/,912-352-4931,
Safe Harbor Savannah Yacht Center,"supplier, marine infrastructure, boat yard","boat yard, refit, repair, haul-out","Savannah, GA","301 N Lathrop Avenue, Savannah, GA 31415",,,33.0,Year-round,Spring and fall,Year-round,Boat yard,strong,Approx. from Port Royal center,Large Savannah service yard and haul-out facility in the 50-mile regional supplier shed.,https://shmarinas.com/locations/safe-harbor-savannah-yacht-center/,912-629-2400,
Savannah Cold Storage,"supplier, marine infrastructure, cold storage","cold storage, refrigerated logistics","Savannah, GA","Savannah, GA",,,33.0,Year-round,,Year-round,Cold storage lead,low,City approximation,Cold-chain placeholder for Savannah-area seafood and protein logistics; exact facility/vendor should be confirmed.,,,
Bluffton Ice and Fuel Docks,"supplier, marine infrastructure, ice, fuel, marina","ice, fuel, marina services","Bluffton, SC","Bluffton, SC",,,14.0,Year-round,Summer peak,Year-round,Infrastructure lead,low,City approximation,Category placeholder for Bluffton-area dock ice and fuel availability; replace with named docks as confirmed.,,,
White House Farms,"supplier, rice producer, grain mill, rice, ice","Charleston Gold rice, Santee Gold rice, heirloom rice","Georgetown, SC","Georgetown, SC",,,95.0,Oct-Dec,Year-round,Stored grain,Small-batch heirloom rice,medium,City approximation,Single-estate heirloom rice source for Lowcountry chefs; verify wholesale availability and current crop year.,,,
Carolina Plantation Rice,"supplier, rice producer, grain mill, rice, grits, ice","Carolina Gold rice, aromatic rice, stone-ground grits","Darlington County, SC","Plumfield Plantation, Darlington County, SC",,,125.0,Oct-Dec,Year-round,Stored grain,In-state rice producer,strong,Regional approximation,Certified SC Grown rice source from Plumfield Plantation on the Great Pee Dee River.,https://www.carolinaplantationrice.com/,,
Marsh Hen Mill,"supplier, rice producer, grain mill, farm, rice, flour, grains, grits, cornmeal, ice","heirloom rice, grits, cornmeal, rice flour, heirloom grains, heirloom rice, heirloom grains","Edisto Island, SC","2995 Hwy 174, Edisto Island, SC 29438",32.479167,-80.334722,22.0,Oct-Apr,Year-round,Milled to order,Farm + mill,strong,Coordinate from source sheet,Farm and mill producing heirloom Carolina rice and grains with strong Lowcountry foodways relevance.,https://marshhenmill.com/,,
Anson Mills,"supplier, grain mill, flour mill, rice, flour, grits, cornmeal, ice","Carolina Gold rice, middlins, wheat flour, cornmeal, grits","Columbia / Charleston, SC","Charleston, SC",,,52.0,Oct-Apr,Year-round,Milled to order,Regional grower + miller,strong,City approximation,Charleston-connected heirloom grain network and miller; best treated as a regional SC source rather than a single nearby farm.,https://ansonmills.com/,,
Hagood Mill Historic Site,"supplier, grain mill, flour mill, flour, grits, cornmeal","stone-ground cornmeal, grits, specialty flours","Pickens, SC","138 Hagood Mill Road, Pickens, SC 29671",,,240.0,Year-round,,Stored grain,Historic mill,medium,Regional approximation,Not local to Port Royal but a real SC milling source that may ship or support statewide sourcing.,https://hagoodmillhistoricsite.com/,,
Gullah Farmers Cooperative,"supplier, farm, rice producer, vegetables","coastal farmers, heritage crops, regional produce","Lowcountry, SC","Lowcountry, SC",,,,Year-round,,Co-op sourcing,Regional cooperative lead,low,No fixed address,Regional cooperative and sourcing lead for small-scale coastal and Gullah-Geechee growers; exact entity and current offerings need confirmation.,,,
Lott Farms,"supplier, farm, poultry and game, eggs, duck eggs, quail eggs, quail, duck, chicken","quail eggs, chicken eggs, duck eggs, quail eggs; chicken/duck eggs","Beaufort area / Coosaw Island, SC","82 Coosaw River Dr, Beaufort, SC 29907",32.408799,-80.710353,2.3,Mar-Jun,Sep,Small-batch,Small farm eggs,medium,Coordinate from source sheet,Local Lowcountry lead for quail eggs and mixed poultry eggs.,,,
Fresh Eggs Beaufort SC,"supplier, farm, poultry and game, eggs, duck eggs, duck, chicken","chicken eggs, duck eggs, live birds","St. Helena Island, SC","38 Yard Farm Rd, St. Helena Island, SC",32.412557,-80.476554,12.8,Mar-Jun,Sep,Small-batch,Eggs + live poultry,medium,Approx. coordinate from source sheet,Eggs and live poultry sales; source row uses area-level coordinates.,,843-252-1232,love4tr@yahoo.com
Palmetto Pigeon Plant,"supplier, poultry and game, game birds, squab","squab, pigeon","Sumter, SC","Sumter, SC",,,95.0,Oct-Feb,Mar-Apr,Commercial,Specialty game bird,medium,City approximation,Major South Carolina squab lead; confirm current wholesale channels before relying on supply.,,,
Little Frying Pan Farm,"supplier, poultry and game, game birds, eggs, quail, pheasant","quail, pheasant, eggs","Moncks Corner, SC","Moncks Corner, SC",,,75.0,Oct-Feb,Mar-Apr,Small-batch or commercial,Game birds,medium,City approximation,SCDA agritourism lead for quail and pheasant; confirm food-supply versus agritourism use.,,,
Carolina Game Birds,"supplier, poultry and game, game birds, eggs, quail","quail, eggs, hatchlings","Cordova, SC","Cordova, SC",,,95.0,Year-round,Oct-Feb,Commercial,Game bird stock,medium,City approximation,"Quail, eggs, and hatchlings supplier; may be more useful for stock and preserves than restaurant meat.",,,
Manchester Farms,"supplier, poultry and game, game birds, eggs, quail eggs, quail","quail, quail eggs","Columbia area, SC","Columbia, SC",,,120.0,Year-round,,Commercial,Quail processor,strong,City approximation,Large South Carolina quail producer and processor with statewide relevance even though outside the immediate Lowcountry radius.,https://manchesterfarms.com/,,
Almost Heaven Plantation,"supplier, poultry and game, game birds, quail, pheasant","quail, pheasant, hunting preserve","Ridgeland area, SC","Ridgeland, SC",,,20.0,Oct-Feb,Mar-Apr,Seasonal,Hunt/preserve lead,low,City approximation,Wingshooting preserve lead; useful context but not necessarily a direct food supplier.,,,
Whippoorwill Farms SC,"supplier, farm, beef, pork, regenerative farm, vegetables","pasture-raised pork, beef, meats, produce, pasture-raised meats; produce","Ridgeland, SC","870 Tillman Road, Ridgeland, SC",32.48,-80.981,18.2,Oct-Feb,Mar-May,"Pasture, batch",Regenerative farm,strong,Coordinate from source sheet,"Regenerative farm with pork program, pasture-raised meats, and produce.",https://whippoorwillfarmssc.com/,,
Lowcountry Family Farms LLP,"supplier, farm, beef","Black Angus beef, beef shares, cuts","Walterboro, SC","Walterboro, SC",32.905,-80.666,36.3,Sep-Nov,Mar-May,"Pasture, batch",Beef producer,medium,City approximation,Walterboro-area beef producer focused on Black Angus beef shares and retail cuts.,,,
Live Oak Beef,"supplier, farm, beef","grass-fed beef, beef shares, cuts","Charleston / ACE Basin, SC","Charleston, SC",32.7765,-79.9311,52.1,Sep-Nov,Mar-May,"Pasture, batch",Beef producer,medium,City approximation,Regional grass-fed and grass-finished beef source tied to Charleston and ACE Basin pastureland.,,,
Rizer's Pork and Produce,"supplier, farm, pork, vegetables","pork, hogs, produce","Lodge, SC","Lodge, SC",,,55.0,Oct-Feb,Mar-Apr,Pasture or batch,Regional pork lead,medium,City approximation,Regional pork producer lead just outside the tighter 50-mile Port Royal shed; verify direct sales and delivery.,,,
Keegan-Filion Farm,"supplier, farm, pork, beef","pasture-raised pork, beef, poultry","Walterboro area, SC","Walterboro, SC",,,36.0,Oct-Feb,Mar-May,"Pasture, batch",Regional meat farm,medium,City approximation,Pasture-raised meat lead in the Walterboro area; verify current pork availability and ordering window.,,,
The Peculiar Pig Farm,"supplier, farm, pork","heritage pork, pasture-raised pork","Dorchester County, SC","Dorchester County, SC",,,70.0,Oct-Feb,Mar-Apr,"Pasture, batch",Regional pork lead,medium,County approximation,Heritage hog farm lead; outside the immediate radius but relevant for serious regional pork sourcing.,,,
Brickyard Point Farms,"supplier, farm, fruits, citrus, pecans, persimmons, pomegranates","pecans, pears, persimmons, pomegranates, citrus, fruits","Beaufort, SC",,32.4308643,-80.6735035,3.7,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Fruit and pecan farm selling via local markets and GrowFood Carolina,https://www.brickyardpoint.com,,
Hobbit Hills Farm,"supplier, farm, vegetables, herbs, eggs","vegetables, eggs, herbs, sustainable farm products","Beaufort, SC",,32.5,-80.8,10.4,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",low,Coordinate from farms.csv,Multi-generation family farm focused on sustainable living and farm-to-table,,,
Pinckney's Produce,"supplier, farm, csa, vegetables","CSA shares, seasonal produce","Beaufort, SC",,32.5,-80.8,10.4,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",low,Coordinate from farms.csv,CSA program operated by Rest Park Farm,,,
Rest Park Farm,"supplier, farm, vegetables, beef","mixed vegetables, CSA, beef, pastured products","Beaufort, SC",,32.5,-80.8,10.4,Sep–Nov,Mar–May,"Pasture, batch","Pasture, batch",low,Coordinate from farms.csv,Historic family farm operating CSA and growing produce,,,
Barefoot Farms,"supplier, farm, u-pick, vegetables, berries, strawberries, melons","strawberries, melons, vegetables, roadside market","St. Helena Island, SC",939 Sea Island Pkwy,32.412557,-80.476554,12.8,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,U-pick strawberries and seasonal produce,,843-838-7421,
Dempsey Farms U-Pick,"supplier, farm, u-pick, vegetables, berries","berries, vegetables, u-pick produce","St. Helena Island, SC",1576 Sea Island Pkwy,32.412557,-80.476554,12.8,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Family-owned U-pick farm with seasonal vegetables and berries,,843-838-3656,
"Marshview Farm, LLC","supplier, farm, vegetables, berries, peaches, plums, muscadines","blueberries, plums, peaches, muscadines, vegetables, tours","St. Helena Island, SC",1257 Seaside Road,32.412557,-80.476554,12.8,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Sustainable farm with fruit and vegetable production; offers farm tours,,843-838-4829,Marshview1012@embarqmail.com
Otis Daise Sr and Son Produce,"supplier, farm, vegetables","okra, squash, tomatoes, sweet potatoes, vegetables","St. Helena Island, SC",104 Peaches Hill,32.412557,-80.476554,12.8,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Small produce farm on St. Helena Island,,843-476-0002,otisdaiseproducer@yahoo.com
Pasture Shed Farm,"supplier, farm, vegetables","seasonal vegetables, roadside market","St. Helena Island, SC",1083 Sea Island Parkway,32.412557,-80.476554,12.8,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Small family farm; Certified Roadside Market,,843-812-8366,chenry@isle.net
Three Sisters Farm,"supplier, farm, vegetables, herbs, flowers","organic vegetables, herbs, cut flowers, CSA","Bluffton, SC",30 Porcher Rd.,32.3,-80.9,13.3,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,USDA-certified organic farm with CSA and market sales,https://3sistersorganicfarm.com,843-757-2363,mconnor@hargray.com
Bear Island Farm,"supplier, farm, vegetables, herbs, fruits, flowers","vegetables, herbs, flowers, fruits, heirloom varieties","Bluffton, SC",,32.240246,-80.859421,13.7,Mar–Nov,Winter greens,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Naturally grown sustainable family farm; sells at Bluffton and Hilton Head markets,https://www.bearislandfarm.com,,
Eden's FARMacy,"supplier, farm, vegetables, microgreens, honey","organic produce, honey, bee pollen, wheatgrass","Bluffton, SC",,32.240246,-80.859421,13.7,Oct–Apr,Year-round,Stored grain,Stored grain,low,Coordinate from farms.csv,Naturally grown non-GMO produce and bee products,,,
Helena Hills Farm,"supplier, farm, u-pick, flowers","flowers, events, workshops","Hardeeville, SC",577 Bellinger Hill Run Road,32.2843,-81.076998,23.4,Year-round,,Service,Service,medium,Coordinate from farms.csv,U-pick flower farm with events and workshops,https://www.helenahillsfarm.com,646-656-1506,
Spirit in the Sky Homestead,"supplier, farm, csa, vegetables, herbs, fruits","vegetables, fruits, herbs, pantry staples, CSA","Tillman, SC",,,,,Mar–Oct,,Fresh to order,Fresh to order,medium,Needs geocoding,Small-scale Lowcountry farm using organic methods with CSA boxes and online preorders,https://www.spiritintheskytillman.com,843-338-4390,spiritintheskytillman@gmail.com
Breland Strawberry Farm - Walterboro Market,"supplier, farm, u-pick, fruits, berries, strawberries","strawberries, fresh fruits, u-pick strawberries","Walterboro, SC","1002 Bells Highway, Walterboro, SC 29488",,,,Mar–May,,"Fresh, seasonal","Fresh, seasonal",medium,Needs geocoding,SCDA-listed strawberry farm and roadside market with U-pick during the spring season,http://www.brelandhillfarm.com/,843-549-7560,
D & S Plantation,"supplier, farm, vegetables","leafy greens, kale, seasonal vegetables, pumpkins, vegetable plants","Hardeeville, SC","2590 South Okatie Highway, Hardeeville, SC 29927",,,,Year-round,,By appointment,By appointment,medium,Needs geocoding,Hardeeville farm offering greens and seasonal vegetables alongside tours and agritourism activities,http://dsplantationllc.com,843-384-0913,
Ottawa Farms,"supplier, farm, u-pick, vegetables, berries, strawberries, beef","strawberries, blackberries, blueberries, Angus beef, u-pick produce","Bloomingdale, GA","702 Bloomingdale Road, Bloomingdale, GA 31302",,,,Apr–Jul,Fall events,"Fresh, seasonal","Fresh, seasonal",medium,Needs geocoding,"Historic South Georgia working farm with berry picking, produce, and a general store",https://ottawafarms.com/,912-748-3035,
Lowland Farms,"supplier, farm, csa, vegetables, eggs, flowers","heirloom vegetables, flowers, eggs, CSA, pumpkins","Johns Island, SC","3702 River Road, Johns Island, SC 29455",,,,Year-round,,"Fresh, seasonal","Fresh, seasonal",medium,Needs geocoding,Sustainable family farm with CSA shares focused on heirloom vegetables flowers and eggs,http://www.lowlandfarms.com,843-714-3310,
Legare Farms,"supplier, farm, u-pick, vegetables, herbs, eggs, fruits, beef, pork","vegetables, fruits, herbs, beef, heritage hogs, eggs, pumpkins, CSA","Johns Island, SC","2620 Hanscombe Point Road, Johns Island, SC 29455",,,,Mar–Nov,Oct,"Fresh, seasonal","Fresh, seasonal",medium,Needs geocoding,Historic Johns Island family farm with produce livestock rolling markets and seasonal agritourism,http://www.legarefarms.com,843-559-0788,
Kachina Farms,"supplier, farm, vegetables, herbs","organic herbs, produce, restaurant supply","Rincon, GA",,32.294773,-81.235361,32.2,Mar–Nov,Year-round,Fresh to order,Fresh to order,low,Coordinate from farms.csv,USDA-certified organic grower serving restaurants co-ops and Lowcountry buyers within the regional driving radius.,,,
Kerry’s Berries U-Pick,"supplier, farm, u-pick, berries","blueberries, u-pick berries","Garnett, SC","2050 Pleasant Hill Rd, Garnett, SC 29922",32.606233,-81.245384,35.8,May–Jul,,"Fresh, seasonal","Fresh, seasonal",medium,Coordinate from farms.csv,Seasonal U-pick blueberry farm within the broader Beaufort sourcing radius.,,912-547-1464,
Lowcountry Fungi,"supplier, farm, mushroom farm, mushrooms","gourmet mushrooms, medicinal mushrooms, dried mushrooms, grow kits","Johns Island, SC","760 Bronson Road Unit 108, Johns Island, SC 29455",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Johns Island mushroom farm supplying Charleston chefs and weekly market shoppers with gourmet and functional mushrooms.,https://www.lowcountryfungi.com,832-373-9600,jonathan@lowcountryfungi.com
Raven Farms,"supplier, farm, mushroom farm, mushrooms, oysters","oyster mushrooms, enoki mushrooms, lion's mane mushrooms","Mount Pleasant, SC","1127 Old Course Lane, Mount Pleasant, SC 29466",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Chef-owned gourmet mushroom farm serving Charleston restaurants and local food buyers.,https://www.ravenfarms.net,808-214-8561,nathan@ravenfarms.net
Fry Farms,"supplier, farm, microgreens farm, csa, vegetables, herbs, microgreens, fruits, flowers","microgreens, dried fruit, fruit vinegars, specialty herbs, flowers, CSA","Johns Island, SC","2024 Academy Road, Johns Island, SC 29455",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Johns Island grower focused on sustainable microgreens and specialty products for direct customers and market shoppers.,https://www.fryfarms.org,843-367-6283,kenfryfarms@gmail.com
The Micro Greens Farm,"supplier, farm, microgreens farm, vegetables, microgreens","microgreens, wheatgrass, local delivery","Johns Island, SC","7 Oaks, Johns Island, SC 29455",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Container-grown Charleston microgreens farm supplying local restaurants markets and subscription deliveries year-round.,https://themicrogreensfarm.com,843-212-6932,Derick@TheMicroGreensFarm.com
Beaufort Bees,"supplier, farm, apiary, honey","raw honey, honeycomb","Beaufort, SC",,,,,Year-round,,Small-batch / wholesale,Small-batch / wholesale,medium,Needs geocoding,Beaufort County apiary selling hyper-local honey and honeycomb to restaurants businesses and market shoppers across the Lowcountry.,https://www.beaufortbees.com,904-803-4079,
Queen & Comb,"supplier, farm, apiary, honey","raw honey, wholesale honey","Charleston, SC",,,,,Year-round,,Small-batch / wholesale,Small-batch / wholesale,medium,Needs geocoding,Charleston apiary and honey supplier providing wholesale honey local delivery and host-a-hive services for homes and businesses.,https://www.queencomb.com,973-296-5305,
Lowcountry Creamery,"supplier, farm, dairy farm, dairy","whole milk, chocolate milk, buttermilk, Greek yogurt, yogurt, creme fraiche","Bowman, SC","2714 Landsdowne Road, Bowman, SC 29018",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Bowman dairy producing cultured milk and yogurt products from its Jersey herd for Lowcountry retailers and cafes.,https://www.lowcountrycreamery.com,803-924-2201,info@lowcountrycreamery.com
Lady's Island Oyster,"supplier, farm, aquaculture farm, oysters","single oysters, oyster seed, mariculture","Seabrook, SC","35 Hutson Lane, Seabrook, SC 29940",32.6,-80.7,15.2,Year-round,,Fresh to order,Fresh to order,medium,Coordinate from farms.csv,Floating oyster farm offering year-round farmed oysters and seed with pre-order pickup and Port Royal market availability.,https://singleladyoysters.com,,
May River Oyster Company,"supplier, farm, aquaculture farm, oysters","local oysters, mariculture","Bluffton, SC","6515 Thomas Lawton Drive, Bluffton, SC 29910",32.240246,-80.859421,13.7,Year-round,,Fresh to order,Fresh to order,medium,Coordinate from farms.csv,May River oyster farm supplying local restaurants and buyers with farm-raised oysters and occasional tours.,https://www.mayriveroyster.com,843-384-2292,mayriveroc@gmail.com
Lowcountry Oyster Company,"supplier, farm, aquaculture farm, oysters, fish, mussels","oysters, mussels, shellfish","Green Pond, SC","15833 Bennetts Point Road, Green Pond, SC 29446",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,ACE Basin oyster and shellfish farm growing traceable oysters and mussels with regular farm tours and a public newsletter.,https://lowcooysters.com,,support@lowcooysters.com
Charleston Oyster Farm,"supplier, farm, aquaculture farm, oysters","oysters, mariculture","Charleston, SC","1731 Tower Battery Road, Charleston, SC 29412",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Working Charleston oyster farm on the Stono River offering farm tours educational opportunities and local oyster sales.,https://www.charlestonoysterfarm.com,,
Savannah Oyster Company,"supplier, farm, aquaculture farm, oysters","oysters, mariculture","Savannah, GA","660 E 39th Street, Savannah, GA 31401",,,,Year-round,,Fresh to order,Fresh to order,medium,Needs geocoding,Bull River oyster farm with weekly public tours direct ordering and subscriber updates on product launches and farm events.,https://www.savannahoysterco.com,,info@savannahoysterco.com
